city,hotelName,source,username,userRating,timeCmt,userCmt
Cần Thơ,Adora Central Park Hostel,Traveloka,P***m,"8,5",30/05/2025,"Nhân viên dễ thương, lịch sự, hỗ trợ khách nhiệt tình. Khách cùng phòng văn minh."
Cần Thơ,Adora Central Park Hostel,GoogleMap,Tran T. N.,"9,1",29/08/2022,"Phòng giống ảnh, sạch sẽ, toilet ngoài dùng chung nhưng khá sạch sẽ và cũng ít kẹt."
Cần Thơ,Adora Central Park Hostel,Traveloka,Le Minh T.,"9,7",13/06/2022,Vị trí lí tưởng cho ai muốn tham quan tây đô. Phòng sạch sẽ và có cả sân thượng rất lý tưởng!
Cần Thơ,Adora Central Park Hostel,Traveloka,Y Tm D.,"8,3",05/04/2021,"Phòng hơi nhỏ, kín và vệ sinh chung nhưng điểm cộng là anh chủ kháchsạn rất nhiệt tình chỉ dẫn địa điểm ăn chơi"
Cần Thơ,Adora Central Park Hostel,GoogleMap,Trac T. C.,"4,8",30/12/2022,"Kỳ nghĩ tồi tệ nhất mình từng gặp , vừa rồi mình có đi công tác ở cần thơ và vô tình ở khách sạn này , khăn tắm siêu siêu dơ , nền nhà siêu bết rít phòng ẩm thấp và khá hôi tiếp đến chăn ga gối có mùi rất khó chịu , và mình thấy app nên xem lại phần đánh sao bên khách sạn này thua nhà nghĩ thấp cấp nữa vậy mà để 2 sao cuối lời các bạn nếu có xem qua và muốn ở adora thì nên xem lại"
Cần Thơ,Adora Central Park Hostel,GoogleMap,Ly Hue N.,"9,7",06/02/2023,Anh chủ rất nhiệt tình. Mình đặt sai ngày và được hỗ trợ đổi lại đúng ngày nhanh chóng.cảm ơn vì đã cho mình 1 đêm nghỉ tuyệt vời tại đây!!
Cần Thơ,Adora Central Park Hostel,GoogleMap,LAM T. S.,"8,8",16/07/2023,Do mình đọc không kỹ nên không biết phòng vệ sinh ở đây dùng chung 1 tầng lầu. Còn lại phòng thì sạch sẽ.
Cần Thơ,Adora Central Park Hostel,Traveloka,Nguyen,"5,1",01/09/2023,"Phòng dơ, quạt bám kín bụi không mát 1 xíu nào, hình ảnh khác hoàn toàn với thực tế, các chi phí phát sinh cao"
Cần Thơ,Adora Central Park Hostel,Traveloka,Hải N.,"8,5",24/10/2023,"Phòng ok nhưng mà không có nhà vệ sinh trong phòng, hy vọng sẽ cải thiện lần sau, và nên có tranh ảnh để phòng đỡ ngộp."
Cần Thơ,Adora Central Park Hostel,Traveloka,H***H,"6,0",08/07/2024,"Mình book phòng dùm bạn, không check kĩ vụ nhà vệ sinh nên đến khi vào phòng mới biết dùng chung, khá bất tiện. Với giá mặt bằng chung như vậy, mình nghĩ là một điểm trừ. Thủ tục nhận phòng cũng lằng nhằng, không nhanh chóng như những nơi khác. Tóm lại mình không đánh giá quá tệ nhưng để book lại lần sau thì là không."
Cần Thơ,Adora Central Park Hostel,Traveloka,P***g,"5,0",07/09/2024,"Nhà với chung , chờ tới 10h đêm chưa được tắm rửa ))) các bạn book sau lưu ý điều này"
Cần Thơ,Adora Central Park Hostel,Traveloka,P***g,"5,0",07/09/2024,"Đặt 2 phòng mà cuối cùng nửa đêm chưa được tắm vì nhà với chung , lần đầu về cần thơ mà book trúng p này"
Cần Thơ,Adora Central Park Hostel,Traveloka,Tan p. N.,"5,8",05/11/2024,"Phòng thôi, k có wc trong phòng"
Cần Thơ,Adora Central Park Hostel,GoogleMap,Tang D. N. Q.,"5,0",23/12/2024,"Một chỗ nghĩ không tốt không có nhà vệ sinh riêng mỗi phòng, mặc dù ở phòng riêng không phải phòng dom phòng có mùi khăn và ga giường không sạch, có mùi móc trong phòng không có gì ngoài 1 cái giường, 1 cái kính và 1 sào treo đồ dụng cụ cá nhân cũng không luôn"
Cần Thơ,Adora Central Park Hostel,Traveloka,p***m,"10,0",10/02/2025,"Mình đã làm quên túi xách trong đó có rất nhiều giấy tờ giá trị của mình, thẻ ngân hàng, tiền. Anh chủ hotel đã trả mình vào lúc mùng 4 tết. Huhu, thật sự rất biết ơn anh chủ và bạn nhân viên khách sạn ạ"
Cần Thơ,Adora Central Park Hostel,Traveloka,Tran T. H. Y.,"8,5",30/08/2022,Chủ nhà hỗ trợ nhiệt tình. Vị trí khá dễ tìm
Cần Thơ,Adora Central Park Hostel,Traveloka,Chinh T.,"5,4",16/11/2022,"Nhân viên thì niềm nở nhưng làm việc chưa nghiêm túc lắm. Phòng ốc thì vệ sinh không sạch, thậm chí còn cả mạng nhện dưới chân bàn. Gối và chăn thì có mùi khai nhẹ."
Cần Thơ,Aluny Boutiquestay Can Tho,Traveloka,TRAN T. P. T.,"9,4",07/06/2022,"Phòng xinh, nhân viên dễ thương"
Cần Thơ,Aluny Boutiquestay Can Tho,Traveloka,Tieu A.,"9,1",02/08/2020,"Về phòng ốc phòng giống như hình thơm tho sạch sẽ đồ vật dụng rất mới giường cực kì êm, tuy nhiên phòng chỉ phù hợp đi cả ngày về nghỉ ngơi vì như trong hình 2 cái giường đã chiếm hầu hết diện tích phòng. Về vị trí thì cực kì thuận tiện rất gần chợ đêm và bến ninh kiều, mình chỉ ở 2 ngày 1 đêm nên rất ưng ý điều này. Nhân viên nói chuyện nhẹ nhàng thân thiện và chu đáo. Lúc mình book phòng thì lễ tân có hỏi mình có đi chợ nổi vào sáng sớm không và sẽ hỗ trợ book cho mình luôn. Có 3 lựa chọn đó là thuyền nhỏ vừa đủ nhóm mình 5 người sẽ đi theo ý muốn của đoàn, hai là đi ghép với đoàn lớn có kèm hdv thì mình chọn hdv, đó là quyết định hoàn toàn đúng đắn. Sáng sớm 6h sẽ có người tới đón mình đưa ra bến, tour mình đi của tư lan con thuyền tím nổi bật nhất sông, có áo phao bảo hộ đầy đủ và hướng dẫn viên anh thư nhỏ nhắn xinh xắn có giọng nói hay và rất nhiệt tình với mọi người. Thêm lưu ý cho mọi người là nếu ai muốn mua khô rắn nước thì nên mua ở nơi làm kẹo dừa vì ở đó bán 270k so với 2 nơi còn lại bán 300k còn những món khác mình không để ý lắm. À vé đặt tour chợ nổi 50k/ng. Kết luận lại là mình và 4 người trong gia đình rất hài lòng với phòng ở chỉ mỗi cái cầu thang leo 4 lượt hơi mệt cho mẹ và 2 dì của mình"
Cần Thơ,Aluny Boutiquestay Can Tho,Traveloka,Thanh B.,"8,5",20/01/2023,"Chỗ để xe máy chật hẹp, đôi khi nhiều xe choáng cả lối đi lên phòng."
Cần Thơ,Aluny Boutiquestay Can Tho,Traveloka,DO HUU QUANG,"8,8",15/08/2023,"Nhân viên dễ thương, đáp ứng yêu cầu của gia đình tôi khi có người già đi cùng. Phòng sạch sẽ, gọn gàng. Khách sạn không có thang máy nên lên lầu hơi mệt."
Cần Thơ,Aluny Boutiquestay Can Tho,Traveloka,Anh N.,"8,4",19/09/2023,"Khách sạn không có thang máy, ở lầu đi rất mệt"
Cần Thơ,Aluny Boutiquestay Can Tho,Traveloka,Ha Viet A.,"8,5",10/04/2024,"P hơi nhỏ, không có xà phòng rửa tay, phòng tầng 4 không có thang máy nên vận chuyển vali sẽ cực"
Cần Thơ,Aluny Boutiquestay Can Tho,GoogleMap,L***U,"7,0",10/03/2024,"Đặt phòng ở đây thì khi tới nơi thì bị chuyển qua 1 khách sạn khác bị báo trùng đặt phòng không biết lỗi từ travoloka hay khách sạn , nhưng ai tới check in trước thì được ưu tiên"
