city,hotelName,source,username,userRating,timeCmt,userCmt
Côn Đảo,Con Dao House,Traveloka,N***n,"9,7",25/10/2025,"Không gian rất đáng yêu, nhỏ xinh lên hình nhìn hay hay. Phòng ốc mới và sạch sẽ, ko bin ẩm mốc gì hết, thơm tho. Nhà vệ sinh siêu sạch sẽ lun. Lần đầu tiên mình ở và rất ưng luôn á lần sau sẽ quay lại tiếp. Vị trí gần trunv tâm thuận tiện di chuyển qua các điểm, phía trước còn có quán cà phê"
Côn Đảo,Con Dao House,GoogleMap,Thi L. C. D.,"9,7",28/04/2021,"Homestay sạch sẽ, không gian đẹp, có phong cách riêng. Nhân viên thân thiện nhiệt tình. Có dịch vụ cho thuê xe đạp, xe máy, xe đạp rất xinh tha hồ sống ảo. Con dao house nằm ngay trung tâm, cách bảo tàng, nhà tù...khoảng 1km đổ lại. Mình rất hài lòng."
Côn Đảo,Con Dao House,Traveloka,tuấn k. h.,"8,5",11/01/2022,Khách sạn phục vụ tốt! đầy đủ tiện nghi!
Côn Đảo,Con Dao House,GoogleMap,Duong S. S.,"9,7",07/02/2022,"Đối với mình ấn tượng đầu tiên rất quan trọng. Côn đảo house lại làm rất tốt điều này, từ không gian, vệ sinh đến thái độ phục vụ đều tốt. Đặc biệt là ở đây làm món bạc xĩu bọt biển khá ngon"
Côn Đảo,Con Dao House,Traveloka,Nguyen D. C.,"9,7",19/02/2022,"Khách sạn này support nhiệt tình quá mức luôn. Nhân viên thân thiện, phòng đẹp, sạch sẽ. Chắc chắn sẽ quay lại khi tới côn đảo"
Côn Đảo,Con Dao House,Traveloka,nguyen t. t. t.,"9,7",10/05/2022,"Khách sạn rất chu đáo, thoải mái mấy bạn nhân viên rất nhiệt tình"
Côn Đảo,Con Dao House,GoogleMap,Duong Q. H.,"9,1",07/07/2022,Nên vệ sinh máy lạnh thường xuyên hơn
Côn Đảo,Con Dao House,Traveloka,Do Hoang A.,"9,1",31/05/2022,"Phòng rất đẹp, nhưng ga và khăn hơi mùi ẩm, ngoài ra phòng và dịch vụ đều rất ok"
Côn Đảo,Con Dao House,Traveloka,Dang,"8,8",14/06/2023,Mọi thứ đều ok trừ mỗi cái ống cống trong phòng tắm bị tắc mãi ạ
Côn Đảo,Con Dao House,GoogleMap,Trang T.,"9,7",19/07/2023,"Nhân viên homestay thân thiện, nội thất phòng mới, không gian yên tĩnh"
Côn Đảo,Con Dao House,Traveloka,Pham H. C. H.,"9,7",10/02/2024,"Phòng hơi có mùi ẩm mốc nhẹ nhưng ổn, mong sẽ khắc phục để phòng thơm hơn"
Côn Đảo,Con Dao House,Traveloka,Duong T. D.,"9,7",16/02/2024,"Dịch vụ tốt. Phòng thiết kế đẹp, tiện nghi. Có sẵn tủ lạnh nhỏ để đồ ăn."
Côn Đảo,Con Dao House,Traveloka,Nhu T. N.,"9,7",28/02/2024,Khách sạn giống như một ngôi nhà! chắc chắn tôi và gia đình sẽ quay lại
Côn Đảo,Con Dao House,Traveloka,Rick T.,"8,8",05/05/2023,"Phòng sạch sẽ, phục vụ tuyệt vời"
Côn Đảo,Con Dao House,Traveloka,Cong Q. D. N.,"10,0",02/11/2024,"Các bạn nhân viên vui vẻ, nhiệt tình, hỗ trợ khách"
Côn Đảo,Con Son Blue Sea Hotel,Traveloka,Nguyen H. P.,"9,7",30/04/2022,"Vị trí ngay trung tâm côn đảo, rất thuận tiện đi lại nhân viên khách sạn nhiệt tình, chu đáo phòng sạch sẽ đặc biệt có xe ô tô đưa đón sân bay nên rất tiện."
Côn Đảo,Con Son Blue Sea Hotel,Traveloka,Duong L.,"8,5",20/02/2023,"Đồ ăn ngon, sạch sẽ, có hồ bơi, nhân viên lịch sự sẽ ghé lại lần sau"
Côn Đảo,Con Son Blue Sea Hotel,Traveloka,Le Thi M. N.,"9,7",18/06/2022,"Khách sạn mới, đi bộ men chổ camping ra biển rất gần. Có ăn sáng, đưa rước nhưng đồ ăn sáng thì tạm ổn thôi. Hồ bơi sân thượng view đẹp. Nhân viên thân thiện. Thuê xe máy 120k/ ngày, rẻ hơn xe ngoài nhưng xe sẽ hơi yếu xíu."
Côn Đảo,Con Son Blue Sea Hotel,Traveloka,Alain C.,"9,7",28/08/2023,"Vị trí tuyệt vời, cạnh bãi biển, dịch vụ đưa đón sân bay miễn phí, bữa sáng đơn giản nhưng tươi ngon, hồ bơi trên sân thượng và cho thuê xe máy mới. Nhà hàng tốt không xa. Sự kết hợp hoàn hảo."
Côn Đảo,Con Son Blue Sea Hotel,Traveloka,Nguyen P. N.,"4,8",28/07/2020,Khách sạn phục vụ tệ. Không bao giờ quay lại
Côn Đảo,Con Son Blue Sea Hotel,Traveloka,Le Phuong T. T.,"10,0",09/06/2019,"Khách sạn mới, phòng ốc sạch sẽ, nhân viên nhiệt tình, ăn sáng ít món nhưng nấu ngon, hồ bơi vô cực view núi rừng đẹp, sẽ quay lại khi có dịp thăm côn đảo"
Côn Đảo,Con Son Blue Sea Hotel,GoogleMap,Nguyen Thi Xuan Trang,"6,0",15/07/2019,Thức ăn thất vọng để nói bất cứ điều gì.
Côn Đảo,Con Son Blue Sea Hotel,Traveloka,Phuong H. L.,"8,4",28/07/2019,Khá ổn. Hài lòng với service của khách sạn. Tuy nhiên với khách sạn 3 sao thì mình nghĩ nên có tủ lạnh mini trong phòng.
Côn Đảo,Con Son Blue Sea Hotel,Traveloka,vo thi ngoc lan,"8,5",12/09/2019,Phòng sạch sẽ thoáng mát rất ok
Côn Đảo,Con Son Blue Sea Hotel,Traveloka,Tran T. K. O.,"8,8",20/09/2019,"Phòng sạch sẽ ok, gần trung tâm có thể thuê xe máy ngay tại khách sạn nhân viên thân thiện. Tuy nhiên, các điều kiện trên so với giá 1tr5 thì hơi đắt chút xíu so với chuẩn khách sạn. Có lè côn đảo không có nhiều sự lựa chọn nên chấp nhận..."
