city,hotelName,source,username,userRating,timeCmt,userCmt
Huế,A-maze House,Traveloka,La Mun,"9,7",02/08/2019,"Đến huế mà không lưu trú tại a- maze house thì khá phí ạ. Nhà siêu đẹp, mọi chi tiết đều được chủ nhà trau chuốt một cách cẩn thận và tinh tế. Chị chủ, 2 bác và bạn nhânviên rất dễ thương và nhiệt tình. Muốn ăn gì ngon, chơi đâu đẹp, khám phá những nơi hay ho và thú vị hay là địa chỉ chất lượng để mua quà mang về....thì chỉ cần gặp chị chủ, bạn sẽ nắm trong tay những trải nghiệm đáng nhớ. Nhắn chị ngọc cám ơn chị đã nhiệt tình đón tiếp tụi em giống như những người em ở xa về. Chúc chị cuộc sống viên mãn và hạnh phúc ạ! love you"
Huế,A-maze House,Traveloka,Pham T. N. T.,"7,0",03/08/2019,"Chị chủ nhà và bạn nhân viên rất tốt, rất dễ chịu. Mình đến huế từ sớm và xin gửi nhờ vali chị cũng đồng ý nữa. Căn nhà nhỏ xinh và trang thiết bị đều đầy đủ. Chỉ là phòng attic buổi sáng quá nóng, vì nó sát mái nhà bằng ngói nên bị hấp nhiệt. Buổi sáng như cái lò thiêu tôn ngộ không vậy (( ngoài ra phòng không khép kín nên đi khá rén các vị khách ở các phòng bên cạnh. Chỉ có 2 điểm trừ đó thôi, nhưng nhìn chung cũng tuyệt vời."
Huế,A-maze House,Traveloka,H Trn,"10,0",10/09/2019,"Nơi ấm cúng và lãng mạn với kiến trúc tuyệt vời và đội ngũ nhân viên thân thiện, hữu ích. Rat khuyen khich."
Huế,A-maze House,Traveloka,Vu Vi,"9,4",17/12/2019,"Nhà rất đẹp, đậm phong cách nhật. Rất sạch sẽ và tiện nghi. Chủ rất dễ thương và thân thiện."
Huế,A-maze House,Traveloka,Quốc Đ. T.,"9,7",28/07/2020,"Cô chủ quán siêu dễ thương và nhiệt tình nhé mọi người, phòng decor theo phong cách nhật nên hơi nhỏ, nhưng 2 người ở thì vô tư nhen. Mới đầu đến có chút hiểu lầm với cậu nhân viên (mới vào làm nên có thể không rõ) thành ra hơi bực tí, tuy nhiên sang ngày hôm sau gặp cô chủ thì tuyệt vời luôn, nấu sẵn đặc sản huế vào buổi sáng cho tụi mình ở lố vài tiếng thoải mái không phụ thu. View sân thượng thì khá là xịn xò sống ảo, đi 1 hội bạn chắc chắn sẽ rất vui. Tuy nhiên phòng hơi nóng, hi vọng cô làm thêm 1 cái máy lạnh nữa thì quá xịn. Have anh good luck to amaze house"
Huế,A-maze House,Traveloka,Ly Trịnh,"9,1",17/09/2022,"Chất lượng phòng nghỉ rất ổn, đồ dùng sạch sẽ, gọn gàng và ngăn nắp. Chị quản gia rất rất rất nhiệt tình và tuyệt vời."
Huế,A-maze House,GoogleMap,Phng M.,"9,7",22/02/2023,"Không gian ấm cúng, sạch sẽ và yên tĩnh, chị chủ nhà rất là nhiệt tình, hôm mình tới chị còn gửi nguyên cho 1 list food tour. Must try khi đến huế!"
Huế,A-maze House,Traveloka,Trâm N.,"9,7",17/08/2023,"Cảm ơn a-maze house vì trải nghiệm vô cùng thú vị tại huế, những gì muốn viết mình đã viết vào quyển sổ tại bàn, a-maze sẽ luôn luôn là lựa chọn đầu tiên của mình khi tới huế, mãi yêu."
Huế,A-maze House,GoogleMap,Tấn Đ. L.,"9,7",27/08/2023,"Chị host và bé nhân viên cực kì nhiệt tình và dễ thương. Không gian khá là thoáng, tiện lợi nhất thuê xe máy ngay tại homestay. Vị trí thuận lợi cho di chuyển đi ăn uống và tham quan. Mọi người nên follow theo food list của homestay"
Huế,A-maze House,GoogleMap,Bui T. K. T.,"9,7",30/08/2023,Looked exactly like the pictures. Lovely and supportive staffs. Nearly hue historic citadel. Definitely come back
Huế,A-maze House,Traveloka,Cao C. D.,"10,0",08/05/2019,"Chị chủ và em gái dễ mến, thân thiện, nhiệt tình, siêu cute, nếu tới huế nhất định tụi mình sẽ ghé lại amaze house"
Huế,A-maze House,GoogleMap,N***n,"10,0",07/07/2024,"Mọi thứ rất ok, mọi thứ đều sạch sẽ gọn gàng, nhà decor xinh xắn, không gian yên tĩnh, nhân viên rất nhiệt tình và thân thiện."
Huế,A-maze House,Traveloka,B***I,"9,1",14/09/2024,"Gần đại nội, có cho mượn xe đạp miễn phí, nhân viên thân thiện, có phòng phù hợp với người đi du lịch một mình"
Huế,A-maze House,GoogleMap,Nguyen K. T.,"10,0",16/04/2025,"Vị trí home gần trung tâm, đi lại rất tiện, có dịch vụ thuê xe máy, phòng ở sạch sẽ. Có cf và đồ ăn vặt ở sảnh. Bạn nào hướng nội đi 1 mình có thể tham khảo"
Huế,A-maze House,Traveloka,V***V,"9,1",30/06/2025,"Giường dorm dọc (không đối mặt với giường khác) nên cảm giác thoải mái, sạch sẽ, có tủ sát giường. Home có bếp mở tiện lấy nước, pha mì, pha trà. Nhân viên thân thiện và hỗ trợ tốt. Đi 1 người ok"
Huế,A-maze House,Traveloka,NGUYEN,"9,4",12/09/2025,"Khách sạn sạch sẽ thơm tho, vào đây nghỉ ngơi chẳng lo điều gì. Phòng ốc gọn gàng tinh tươm, chăn êm, nệm ấm chẳng thừa, chẳng thô. Nhân viên thân thiện, mến yêu, nụ cười luôn nở, sớm chiều dịu êm. Dịch vụ chu đáo tận tâm, khi cần hỗ trợ, chẳng ngần ngại chi. Ở đây vừa đẹp, vừa yên, giá thì hợp lý, lại gần trung tâm. Mai này có dịp ghé qua, xin đừng quên chốn mặn mà tình thân."
Huế,A-maze House,Traveloka,Minh P. N.,"9,7",29/10/2023,"Phòng đơn sẽ không cách âm. Hơi tối vào buổi chiều và tối dù có đèn, nên dễ có muỗi."
Huế,AD 41 Hotel Hue,Traveloka,Le Thanh,"8,5",04/04/2021,"Le tan niem no, chu dao. Phong sach nhung co hom chua don. Vi tri tot. Có thang may, cho de xe"
