city,hotelName,source,username,userRating,timeCmt,userCmt
Phan Thiết,247C/A Guesthouse,Traveloka,Doan T. A.,"8,5",26/03/2018,"Good, khách sạn rất sạch sẽ mặc dù lối vào nhỏ nhưng đủ để bạn có bữa tối yên bình"
Phan Thiết,247C/A Guesthouse,Traveloka,sinchai c.,"8,8",08/05/2019,"Chuyến bay của tôi đến lúc 3 giờ sáng nhưng họ được chào đón nồng nhiệt, tất cả đều tốt."
Phan Thiết,247C/A Guesthouse,GoogleMap,Nguyen D. D.,"8,5",13/05/2019,"Phòng rất ok, phù hợp với mức giá, ông bà chủ vô cùng thân thiện và nhiệt tình. Điểm trừ duy nhất là nước không ổn định, có lúc mạnh lúc yếu, lúc đi tắm biển về người đầy cát mà nước yếu phải ngồi chờ hơi lâu tý"
Phan Thiết,247C/A Guesthouse,Traveloka,ToanVu,"9,1",27/07/2019,"Sạch sẽ yên tĩnh phòng rộng có máy lạnh nước nóng, gần biển. Vị trí trong hẻm hơi nhỏ."
Phan Thiết,247C/A Guesthouse,Traveloka,Donny F.,"8,5",01/10/2019,"Chỉ trừ vòi hoa sen cần thời gian lâu hơn để hoạt động đúng, khác là tốt."
Phan Thiết,247C/A Guesthouse,Traveloka,Phạm B. M.,"8,5",22/07/2023,"Giá rẻ, chất lượng phòng tương xứng giá tiền!"
Phan Thiết,247C/A Guesthouse,Traveloka,LE DUONG QUOC BAO,"10,0",08/08/2023,"Rẻ ngay trung tâm mũi né, thuận tiện đi lại"
Phan Thiết,247C/A Guesthouse,Traveloka,Quynh N.,"5,1",09/08/2023,"Trời mưa, hẻm hẹp và sình lầy ah. Nước không tự động mà chờ bơm. Chủ nhà nhận khách rất khó chịu, lớn tiếng"
Phan Thiết,247C/A Guesthouse,Traveloka,Lee T. D.,"8,5",21/02/2024,"Phòng sạch sẽ, tiện nghi trong hẻm nhỏ, nhưng gần đường lộ, tiếp đón nhiệt tình"
Phan Thiết,247C/A Guesthouse,GoogleMap,Đ***c,"10,0",04/07/2025,"Gia đình chủ nhiệt tình , phòng sạch sẽ"
Phan Thiết,247C/A Guesthouse,Traveloka,Pham T. T. V.,"9,1",12/02/2019,"Phòng sạch sẽ, giá tiền rẻ. Sẽ quay lại khi có dịp"
Phan Thiết,247C/A Guesthouse,Traveloka,D***o,"8,5",07/09/2025,"Vị trí gần biển thuận lợi. Cô chủ dễ thương. Phòng cũng sạch sẽ, nước mạnh. Với giá tiền như vậy thì rất hài lòng."
Phan Thiết,247C/A Guesthouse,Traveloka,Thuỷ T.,"8,5",10/09/2025,"Cô chủ dễ thương, phòng sạch sẽ. Gần đó có chỗ tắm nước sạch và vui lắm"
Phan Thiết,Adora Bay Ke Ga Beach Resort,Traveloka,N***n,"10,0",20/02/2025,Mọi thứ với mình rất tuyệt vời khi nghỉ dưỡng ở đây
Phan Thiết,Adora Bay Ke Ga Beach Resort,Traveloka,P***N,"9,4",10/05/2025,"Phòng sạch sẽ, máy lạnh mát, phòng mình có 2 giường và kèm thêm 2 quạt trần (rất mát mẻ). Có dọn phòng tiện ích có khu vui chơi bể bơi lớn nhỏ và trượt phao. Nhân viên nhiệt tình, thân thiện đồ ăn ăn sáng có nhiều món và nước uống. Tóm tắt rất hài lòng về kỳ nghỉ ở đây, vui chơi nghỉ dưỡng thoải mái, nhất định sẽ quay lại lần sau"
Phan Thiết,Adora Bay Ke Ga Beach Resort,Traveloka,Q***i,"10,0",10/05/2025,Một kỳ nghỉ tuyệt vời không khí/tiện nghi tốt thức ăn bữa sáng bình thường hỗ trợ của nhân viên tốt điểm nổi bật giá tốt vị trí tốt
Phan Thiết,Adora Bay Ke Ga Beach Resort,GoogleMap,N***n,"9,1",03/07/2025,"Nhân viên rất thân thiện nhiệt tình, từ tiếp tân cho đến nhà hàng. Điểm cộng là hồ bơi ấm, nhiều trò chơi, các bé chơi cả ngày ko chán. Đồ ăn ngon, đặt theo combo trưa và tối đồ ăn rất nhiều, nấu ngon, cả nhà ai cũng khen. Chỉ có phòng hơi nhỏ, vs tạm ổn."
Phan Thiết,Adora Bay Ke Ga Beach Resort,Traveloka,N***n,"10,0",21/08/2025,"Nvien thân thiện nhiệt tình, đồ ăn ngon lắm, giá cả hợp lí nên đi gia đình vì suất khá to. Tối còn có nướng ngoài trời siêu chill mát"
Phan Thiết,Allezboo Beach Resort & Spa,Traveloka,Verified traveler,"8,0",24/09/2017,Good resort with good swimming pool
Phan Thiết,Allezboo Beach Resort & Spa,Traveloka,Zemmie,"10,0",12/12/2017,"Vi hade underbar service på hotellet, de fixade allt möjligt till oss som vi behövde. De va värt att betala lite mer för! de va lite dyrt i restaurangen jämfört med om man gick ut och åt men maten var god. Rummen var fantastiska men välj ett rum med balkong"
Phan Thiết,Allezboo Beach Resort & Spa,Traveloka,M,"8,0",14/01/2018,"Das hotel befindet sich direkt am strand, verfügt aber auch über einen schönen eigenen pool. Die anlage ist in kolonialstiel gebaut, nur zweistöckig und sehr gut in die grünanlage integriert. Das frühstück ist abwechslungsreich, bietet sowohl einheimische, als auch europäische kost. Das angebot an obst ist beeindrückend. Das personal ist nett und bemüht."
Phan Thiết,Allezboo Beach Resort & Spa,Traveloka,Verified traveler,"10,0",25/01/2018,Allezboo is a very nice resort on the beach. I recommend staying here.
Phan Thiết,Allezboo Beach Resort & Spa,Traveloka,JEROME,"10,0",29/01/2018,Very solid resort. Good service. The only small issue was the noise of the work on the refurbishment if a room on the ground floor and the site next door as there is now a street between this resort and the one that used to be next.
Phan Thiết,Allezboo Beach Resort & Spa,Traveloka,Esme Lisanne,"10,0",08/09/2018,Absolutely amazing. Exactly what we needed. Super great and attentive staff.
Phan Thiết,Allezboo Beach Resort & Spa,Traveloka,Helge,"10,0",31/10/2018,"Hotellet er velholdt med en fin beliggenhet ved stranden og en flott hage, insjekkingen gikk fort og greit. Vi ble også oppgradert til et rom med separat stue og soverom. Fra stuen kunne en gå ut på terassen der det var en egen sittegruppe. Svømmebassenget var stort. Det var solstoler både ved svømmebassenget og nedenfor ved stranden.hver morgen ble det delt ut håndklær ved svømmebassenget. Det var også to dusjer tilgjengelig før/etter bading. Frokosten var variert og god,med både varm og kald mat.det var også en stasjon for omelett, speilegg eller lignende. Restauranten og barområdet var desverre ikke innbydende på kveldstid.her kunne hotellet med fordel ha gjort en bedre innsats. Dette gjelder også noen av drinkene i baren. På den andre siden er det kort vei / gangavstand til andre og mere innbydende restauranter."
Phan Thiết,Allezboo Beach Resort & Spa,Traveloka,Eugeny,"10,0",09/11/2018,"Мы в этом отеле уже в восьмой раз и другого нам не надо. Он почти последний в чепочке отелей на данном побережье, за последние два года построили еще один отель справа от allezboo, он никак не повлиял на тишину и спокойствие. Рядом в 50-100 метров все кафе и магазины. Персонал приветливый, номера убираются ежедневно, постельное белье тоже,чай, кофе, чайник,всё есть. Территория ухоженная, завтраки очень даже хорошие, голодными не уйдете. Тишина, бассейн, джакузи и море. Что ещё надо для отдыха. Рекомендуем."
