city,hotelName,source,username,userRating,timeCmt,userCmt
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,Traveloka,Supakorn T.,"9,1",06/02/2020,Khách sạn rất đẹp. Mặc dù trông hơi cũ nhưng thiết kế sang trọng. Phòng rất lớn và thuận tiện với giá cả phải chăng. Khung cảnh núi non tuyệt vời với dịch vụ tuyệt vời.
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,Traveloka,Ngọc Á.,"6,4",27/08/2022,"Khách sạn hôi, ăn sáng không ngon. Chỗ bụi bặm kiểu như bỏ lâu không có khách. Nói chung là chán. Haha"
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,Traveloka,Pham H. C.,"8,7",29/07/2022,"Khách sạn gần trung tâm. Kiến trúc và nội thất tốt, vào phòng có mùi hương quế xả dễ chịu. Tuy nhiên phòng bé, toàn bộ các phòng phía sau của khách sạn đều không có view vì dựa lưng vào nhà phía sau nên rất bí. Lễ tân thì hay vắng mặt, khách phải đi tìm."
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,Traveloka,Tran T. A.,"5,2",21/07/2022,"Không có nước nóng mặc dù đã đổi phòng, không sạch sẽ, nhân viên không chuyên nghiệp"
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,Traveloka,Vu Thu T.,"6,3",17/05/2022,"Phòng bẩn quá, ga giường toàn vết ố thôi. Phòng cũng không được đẹp như trên ảnh"
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,Traveloka,Dinh C. H.,"8,5",18/03/2022,Chủ kháchsạn thân thiện nhiệt tình lắm
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,Traveloka,BUI M. C.,"6,0",08/03/2022,"Phòng ốc quá cũ , chất lượng thua xa quảng cáo."
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,Traveloka,Tâm H.,"6,0",01/03/2022,"Dịch vụ kém, nhân viên không nhiệt tình, phòng ốc hư hỏng bửn thỉu."
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,GoogleMap,Hoang T. T. H.,"6,4",27/02/2022,"Nhân viên khách sạn thân thiện, mỗi tội khách sạn hơi cũ, nước nóng phải chờ rất lâu, đi dịp tết nên việc dọn phòng cần phải gọi mới dọn."
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,Traveloka,Cao T. H.,"5,3",01/03/2022,"Tôi thuê phòng gia đình cho mẹ và em tôi, ngày đầu không có remote, khi yêu cầu thì nói không đúng loại máy lạnh nên không thể chỉnh chế độ sưởi, gia đình tôi ngủ trong phòng lạnh 4c với hơi máy lạnh phà xuống. Phòng không dọn phòng và cung cấp trà caphe gói, đêm xuống nhà bếp hỏi thì thu tiền. Ngày hôm sau cũng không có, tôi bảo e tôi xuống lấy và bảo là phòng không cung cấp hôm nay thì mới không thu tiền tiếp."
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,Traveloka,Cao T. H.,"5,3",01/03/2022,"Phòng lạnh, cũ, không có hệ thống sưởi, kháchsạn dùng quạt sưởi cũ, cửa ban công không đóng được nên phòng không thể nào ấm. Khách sạn đã đổi phòng đêm sau. Nhân viên không vệ sinh phòng mỗi ngày."
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,Traveloka,Nguyen Dinh Phach,"6,0",22/02/2022,"Mất nước toàn khách sạn, không có hướng xử lý cho khách"
Sa Pa,A25 Hotel - 29 Thac Bac Sapa,Traveloka,VU HAI L.,"5,2",20/02/2022,"Thật sự thất vọng về kháchsạn ! ae nào có ý định thuê thì xem xét lại, hôm đầu tiên nước nóng bị mất, ga giường thì không thay, phòng ốc thì bóng cháy bóng không, tóm lại là tồi tệ ! phòng ốc không chịu bảo trì chán"
