city,hotelName,source,username,userRating,timeCmt,userCmt
Đà Lạt,A.M Memory Hotel,Traveloka,Le Thi T. T.,"9,7",02/11/2017,"Khách sạn rất sạch sẽ, thoải mái, bạn lễ tân rất vui vẻ và nhiệt tình."
Đà Lạt,A.M Memory Hotel,Traveloka,Hoang D.,"8,5",29/11/2017,Khách sạn sạch sẽ. Nhân viên phục vụ thân thiện.
Đà Lạt,A.M Memory Hotel,Traveloka,Huynh T. M. H.,"8,8",29/04/2017,"Khách sạn sạch sẽ, nhân viên thân thiên..vij trí thuận lợi..good.. Lần sau sẽ ghé lại"
Đà Lạt,A.M Memory Hotel,Traveloka,Pham N. X. T.,"9,1",25/04/2017,Tam on.gia re.se quay lai.co thag may
Đà Lạt,A.M Memory Hotel,GoogleMap,Nguyen T. T. M.,"9,7",03/02/2017,"Thật là tuyệt vời. Đi vào dịp khai trương nên dc giảm giá 50 . Nhân viên rất nhiệt tình, luôn hỗ trợ khách tận tình. Thích nhất là phòng luôn dc dọn gọn mỗi ngày, thay ga giường, khăn và mền đầy đủ"
Đà Lạt,A.M Memory Hotel,Traveloka,THAI V. T.,"9,1",09/02/2017,"Khách sạn mới, sạch sẽ và được trang trí với đồ nội thất tốt. Dễ dàng tìm thấy nơi để ăn quanh khách sạn. Các nhân viên là hữu ích và thân thiện."
Đà Lạt,A.M Memory Hotel,Traveloka,Ngo T. H.,"10,0",19/01/2018,Đáng nhớ và thú vị. Mọi thứ ở đây đều rất sạch sẽ.
Đà Lạt,A.M Memory Hotel,Traveloka,Nguyen D. T. H.,"9,4",15/03/2018,"Phòng sạch sẽ, nhân viên thân thiện, vị trí gần khu ẩm thực, địa điểm du lịch, tuy nhiên cuốc bộ đến chợ hết hơn 2km."
Đà Lạt,A.M Memory Hotel,Traveloka,Nguyen T. D.,"6,7",17/11/2017,"Phòng sạch sẽ, nhưng diện tích quá hẹp, không trở lại cho lần tới"
Đà Lạt,A.M Memory Hotel,GoogleMap,VU NGUYEN THUY DUNG,"8,5",16/03/2018,"Khách sạn sạch sẽ, nhân viên thân thiện, dịch vụ khá tốt. Có nhiều người quản lý nên thông tin hơi hay bị nhầm lẫn nhưng mọi thứ rất gọn gàng, tốt."
Đà Lạt,A.M Memory Hotel,Traveloka,Luong T. V. H.,"9,4",04/01/2019,Khách sạn rất sạch sẽ. Nhân viên cực kì thân thiện dễ mến. Có dịch vụ thuê xe máy. Giá cả hạt dẻ.
