city,hotelName,source,username,userRating,timeCmt,userCmt
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,D***g,"6,7",12/05/2025,Thái độ nhân viên quá tệ. Đồ ăn bình thường
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,Dang N.,"10,0",05/07/2025,Phục vụ tốt nhiệt tình viu rất xinh
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,Ha Thi T. T.,"9,7",21/08/2025,Nhan viên thân thiện nhiệt tình
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,B***i,"10,0",25/08/2025,"Tốt, rất vui... Sẽ quay lại vào lần tới"
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,M***h,"8,2",25/08/2025,"View đẹp, phòng sạch đẹp, dịch vụ tiện ích đều ổn, gần bãi biển, gần trung tâm."
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,M***h,"8,5",23/08/2025,"View đẹp, phòng sạch đẹp, dịch vụ tiện ích đều ổn, gần bãi biển, gần trung tâm, giá tốt, check-in, check-out nhanh gọn."
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,K***m,"10,0",04/09/2025,"Phòng sạch sẽ, view đẹp, rộng rãi thoải mái, phù hợp cho gia đình có con nhỏ hoặc các cặp đôi"
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,T***N,"10,0",08/09/2025,"Chỗ nghỉ đẹp, sạch sẽ, view biển, gần bờ biển rất tiện"
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,GoogleMap,K***c,"9,1",29/09/2025,"Phòng rộng rãi tiện lợi, nhân viên phục vụ nhẹ nhàng"
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,Khách đã xác minh,"9,1",07/10/2025,"Ok lắm nhé. Các bạn nhân viên rất thân thiện nhiệt tình hỗ trợ, phòng gọn gàng sạch sẽ view đẹp. Có dịp vợ chồng mình sẽ quay lại"
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,N***n,"8,5",08/10/2025,"Phòng ốc sạch sẽ, gần bãi biển có bãi cát trắng rất đẹp. View thoáng đãng, các bạn nhân viên cũng thân thiện, nhiệt tình. Nói chung gia đình mình có một kỳ nghỉ đáng nhớ ở đây."
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,Khách đã xác minh,"9,3",10/10/2025,"Trải nghiệm tốt vị trí thuận lợi, đẹp, số hotline gọi nhiều lần ko ai nghe máy"
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,Thai H. P.,"9,1",06/11/2025,"Khách sạn sang trọng, đầy đủ tiện nghi, ngay cạnh 1 bãi biển nhỏ (tuy nhiên tôi không tắm ở đây vì hôm đó có vẻ nước rút và nhiều phù sa)."
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,Pham K. N.,"7,2",11/06/2025,"Nhân viên lễ tân rất thái độ, mình check in xong nhân viên lễ tân bảo chờ 15p sẽ gọi cho mình nhận phòng. Mình chờ gần 1 tiếng ko thấy gọi mới ra hỏi thì nói xếp hàng sau rất đông người chưa check in. Mình có nói là check in rồi đến lấy thẻ phòng thôi nhân viên quay ra lườm mình. Hình như là quản lý vì có mình chị này mặc vest đen"
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,Mai N.,"9,4",09/06/2025,"Dịch vụ tốt, cơ sở vật chất đầy đủ, đẹp"
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,GoogleMap,Nguyen T. K.,"9,6",14/05/2025,"Thang máy hơi đông giờ cao điểm, đồ ăn sáng buffet theo quan điểm cá nhân thì không có gì nổi bật, không có món địa phương, không ngon nhưng cũng không quá dở"
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,V***t,"6,9",02/05/2025,"Gặp sự cố khi gửi xe dưới hầm khách sạn, xe tôi đã bị nứt vỏ sau khi gửi xe ở đây."
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,GoogleMap,P***m,"9,6",08/05/2025,"Giảm giá kh đúng mô tả, chỉ dùng được 1 lần duy nhất"
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,Traveloka,0***5,"8,3",16/06/2025,Hơi xa trung tâm phòng rộng nhưng giường bé đồ dùng đầy đủ để 30 độ mà vẫn lạnh rèm có điều khiển nhưng phải kéo 1 tí thì nó mới hoạt động
Hạ Long,A La Carte Ha Long Bay Managed by TASECO,GoogleMap,Ngo Q. T.,"10,0",15/06/2025,1 nơi nghỉ dưỡng thật tuyệt vời!!!
Hạ Long,A La Carte Ha Long Bay Residence,Traveloka,N***n,"10,0",04/05/2024,"Khách sạn khá đẹp, phần sảnh hơi xô bồ chưa được lịch sự."
Hạ Long,A La Carte Ha Long Bay Residence,Traveloka,Nguyen P. T.,"6,1",01/01/2024,"Nhân viên không thân thiện, đi đôi mà xếp phòng 2 giường, đổi phòng thì không có view như đã đặt. Nước nóng thì quá ít, hầm thì không có chỗ để xe, cảnh quan bụi bặm bữa sáng thì quá đắt"
Hạ Long,A La Carte Ha Long Bay Residence,Traveloka,Nhi U.,"6,1",30/12/2023,"Khách sạn đang trong quá trình hoàn thiện nên dịch vụ chưa ổn lắm! không có chỗ để xe nước tắm không đủ nóng, người đầu tắm thì nóng, 3 người còn lại tắm nước lạnh trời mùa đông giường đơn đã bé rồi 2 cái gối to quá, nằm như muốn rơi ra khỏi giường. Xung quanh đang xây dựng bụi bặm! các khu vực tiện ích như bể bơi thì không mở! chán!!!"
Hạ Long,A La Carte Ha Long Bay Residence,Traveloka,Tran T. T.,"9,4",03/08/2023,"Phòng rộng, nội thất đẹp, đầy đủ tiện nghi... Rất tuyệt vời!!"
Hạ Long,A La Carte Ha Long Bay Residence,Traveloka,VAN T. T. T.,"6,0",02/08/2023,Bãi gửi xe ô tô tệ. Xa bãi cháy 5-6km. Mọi người cân nhắc nhé.
Hạ Long,A La Carte Ha Long Bay Residence,GoogleMap,Nguyen T. P.,"4,8",24/07/2023,"Check in lâu, nhận phòng 1 phòng cửa ban công hỏng, 1 phòng điều hòa trục trặc mãi không lên. Goi 5 cuộc thi 3 nhân viên lên xuống liên tục vẫn không được. Xin đổi phòng cũng không hỗ trợ!"
Hạ Long,A La Carte Ha Long Bay Residence,Traveloka,Do Ta H.,"6,2",20/06/2023,Nửa đêm mất điện. Bếp thì không sử dụng được
Hạ Long,A La Carte Ha Long Bay Residence,Traveloka,Giang B.,"6,9",04/06/2023,"Nhân viên tương đối nhiệt tình, nhất là nhân viên nhà hàng. Khi yêu cầu nhân viên nếu có phòng thì xin checkin sớm vì gdinh có trẻ nhỏ, nhân viên bảo đúng 3h nhận phòng theo tiêu chuẩn! sau đó được bạn nhân viên quầy checkin phụ giúp, khá là tốt. Gặp sự cố mất điện nên khá nóng, cảm thấy thật tệ khi ở 3 ngày mà bị mất điện cả 3 ngày"
