city,hotelName,source,username,userRating,timeCmt,userCmt
Hội An,A Bống Villa,Traveloka,An Nguyen,"8,0",16/02/2025,Phòng và cả biệt thự rất rất là đẹp
Hội An,A Bống Villa,Traveloka,Thanh Xuan,"2,0",20/09/2024,Một kỳ nghỉ nhớ đời
Hội An,ABA Travel Villa,Traveloka,Dung Nguyen,"8,0",27/06/2025,"Phòng sạch sẽ, giá tốt, phòng mình ở có ban công thoáng tuy nhiên chắc gần bên cạnh là hàng ăn nên phòng có 1-2 con ruồi bay vào, vị trí cách phố cổ tầm 1,4 km. Nhà mình nhận phòng mới biết phòng ko có tủ lạnh và tối đi chơi về muộn tắm không có nước nóng, chắc bị lỗi j đó hoặc đúng hôm hết nước nóng. Nói chung gia đình nào có ý định dừng nghỉ tại hội an chủ yếu đi chơi ko phải kiểu nghỉ dưỡng thì đây cũng là một lựa chọn phù hợp và giá cả phải chăng."
Hội An,ABA Travel Villa,Traveloka,CUONG VO HUNG,"10,0",13/05/2025,"Phòng đẹp, rộng, thoáng, sạch sẽ. Có chỗ để xe ô tô, đi bộ 10p tới phố cổ. Xung quanh nhiều hàng quán ăn uống."
Hội An,ABA Travel Villa,Traveloka,Hoa Hà,"10,0",16/03/2024,"Cô chủ dễ thương, luôn nhiệt tình, giúp đỡ khách hết mình, luôn ân cần với khách. Phòng rộng rãi, tiện nghi, vô cùng sạch sẽ thơm mát. Phương tiện đi lại dễ dàng, gọi xe là có ngay. Giá phòng thích hợp với thị trường. Thích nhất cô chủ dễ chịu, nhà mình con nít, hơi bề bộn, nhưng cô chủ luôn vui vẻ giúp đỡ khi mình cần. Vote 5 sao cho mọi hình thức."
Hội An,ABA Travel Villa,Traveloka,dang quoc Hoang,"10,0",30/03/2025,Phòng ốc rộng rãi sạch sẽ. Giá ok là điểm nên chọn
Hội An,ABA Travel Villa,Traveloka,23 Phương Thùy,"10,0",18/03/2024,"Phòng ốc sạch sẽ thoáng mát, villa gần phố cổ, gần biển nên di chuyển rất thuận lợi. Chủ ở đây khá dễ thương, support gia đình mình rất nhiệt tình về địa điểm ăn uống địa phương. Nếu có dịp quay lại hội an sẽ book tiếp phòng ở đây"
Hội An,Ahoy Hoi An Boutique Resort & Spa,Traveloka,Diep,"10,0",05/05/2023,"Best hotel we stayed in vietnam! i fall in love with ahoy hoi an resort spa!! the design decor, the professionalism and promptness of staff and the cleanliness and presentation of the overall hotel is amazing. Breakfast was excellent. It also has a nice spa. Thanh for making our stay a memorable one that we would definitely recommend of ahoy hoi an for anyone visiting hoi an!"
Hội An,Ahoy Hoi An Boutique Resort & Spa,Traveloka,Jennifer,"8,0",07/08/2025,"Excellent staff, buffet, and spa. The hotel is a opened hotel and the mosquitoes were a problem."
Hội An,Ahoy Hoi An Boutique Resort & Spa,Traveloka,Camilla,"10,0",22/07/2025,"Utrolig trivelig hotell og personale. Bassengområdene er helt topp. Hotellet er trukket tilbake i fra hoved veien så det er veldig fredelig område. Når en tar prisen på overnatting her mot selve opplevelsen så gir dette veldig mye overnatting for pengene. Personalet er også fantastiske og gjør det hele til en veldig god opplevelse. Kan absolutt anbefale å bo her. Frokosten er helt ok, men restauranten ut over det var ikke noe bra. Vær obs på at hotellet krever ekstra betaling for ekstraseng og frokost til barn her, ut over det som er betalt via hotells.com"
Hội An,Ahoy Hoi An Boutique Resort & Spa,Traveloka,Arielle,"10,0",29/05/2024,Heel mooi hotel en superlieve en behulpzame staff.
Hội An,Ahoy Hoi An Boutique Resort & Spa,Traveloka,Leonore,"10,0",14/04/2024,"The hotel is absolutely wonderful. The staff (particularly trinh and dung) were so helpful and professional. The pool area is gorgeous, we found it hard to want to leave! rooms are spacious and breakfast is good. Would definitely stay again!"
Hội An,Ahoy Hoi An Boutique Resort & Spa,Traveloka,Ravi,"10,0",10/03/2024,The staff is excellent. The food is good. Only the location was not that great.
Hội An,Ahoy Hoi An Boutique Resort & Spa,GoogleMap,Stephanie,"10,0",23/01/2024,"Beautiful and serene hotel with friendly and helpful staff. The two swimming pools are ideal for relaxing and cooling off. Rooms have excellent facilities. It is a 30 minute walk from the bustling centre of hoi an, but you can use the free shuttle or bikes if you don t want to walk it. Lots of convenient shops and small eateries in the area too. Would highly recommend if you want somewhere peaceful, yet convenient."
Hội An,Ahoy Hoi An Boutique Resort & Spa,Traveloka,PEI PEI,"6,0",15/09/2023,A nice resort with relaxing feel. Staff are also friendly. The downside of this location is not near to old town hence when u want to make a visit u will have to book a transport out.
Hội An,Ahoy Hoi An Boutique Resort & Spa,Traveloka,Venkatesh,"10,0",15/05/2023,Quiet place conveniently located. Breakfast was very good.overall service was superb. Long at the front desk had the broadest smile that made your day. Will go back again.
Hội An,Ahoy Hoi An Boutique Resort & Spa,Traveloka,Andreas,"10,0",14/08/2025,Very nice staff made us feel welcome. Well maintained property. Great boutique hotel.
Hội An,Ahoy Hoi An Boutique Resort & Spa,Traveloka,Aymeric,"10,0",09/09/2025,"Excellent accueil, bienveillance , aux petits soins! bons repas et excellent petit déjeuner accès libre aux vélos , belles piscines , chambres spacieuses , spa accueillant , très beau cadre"
Hội An,Aira Boutique Hoi An Hotel & Villa,Traveloka,Kirstin,"10,0",05/05/2024,Great breakfast and some lovely places to eat around and the beach was great for kids
Hội An,Aira Boutique Hoi An Hotel & Villa,Traveloka,Sharon,"10,0",30/04/2024,"Fabulous location, nice pool areas, amazing staff, super massages, great breakfast and lovely big comfortable clean room. Would definitely return."
Hội An,Aira Boutique Hoi An Hotel & Villa,Traveloka,joel,"6,0",20/04/2024,Chambre confortable et bien décorée mais au 3e étage beaucoup trop chaude comparativement aux étages inférieurs odeur nauséabonde par endroits le jardin est petit et pas très bien entretenu l accès à la plage est pas terrible l espace petit déjeuner est insuffisant par rapport au nombre de personnes
Hội An,Aira Boutique Hoi An Hotel & Villa,Traveloka,YUJUNG,"10,0",24/04/2024,"벌써 아이라부티크가 그리워요. 직원들은 내게 룸넘버를 물어보지 않아도 날 기억합니다. 매일 아침 조식먹을 때 마다 친근하게 말 걸어주고 밤새 안녕했는지 물어봐줘요. 그때 불편사항을 말하면 다 반영되어 있습니다. 묵는 동안 한국인은 한팀 봤어요. 대부분 서양 가족이나 커플입니다. 해변 코앞이고 한 블럭 뒤에 맛집과 마사지사파도 많아요. 위치가 이렇게 좋은데 숙소는 조용하고 한적하고 평화로워요. 객실은 조금 올드하지만 집기류와 수건, 침구 깨끗합니다. 아이라부티크 리셉션 바로 앞에 미니마트 바가지 없고 친절합니다. 매일 여기서 생수와 맥주를 사마셨어요. 마지막날 체크아웃할 때 작은 랜턴을 선물로 줬어요. 넘나 감동쓰 ㅠㅠㅠㅠ 소중한 아이라부티크 또 만나요!!!"
