city,hotelName,source,username,userRating,timeCmt,userCmt
Mộc Châu,Cầu Kính Bạch Long - Đảo Mộc Châu,Traveloka,Khách đã xác minh,"10,0",14/11/2025,"Nhân viên thân thiện, không thái độ cọc cằn hay gì cả mình đặt đúng lúc không phải mùa du lịch nên khá vắng nhưng vẫn đầy đủ các dịch vụ và trò chơi."
Mộc Châu,Cầu Kính Bạch Long - Đảo Mộc Châu,Traveloka,B***i,"10,0",09/08/2025,Mọi thứ hoàn hảo. Sẽ trở lại một ngày gần đây nhất.
Mộc Châu,Cầu Kính Bạch Long - Đảo Mộc Châu,Traveloka,Ngọc T. B.,"8,5",09/08/2025,Phòng rộng rãi sạch sẽ dịch vụ siêu tốt
Mộc Châu,Cầu Kính Bạch Long - Đảo Mộc Châu,Traveloka,Y***m,"8,8",25/03/2025,"Nhân viên xe điện cực kỳ tệ, không có một chút gì là nhiệt tình, cứ chăm chăm sợ khách không tip, mất thiện cảm. Khách sạn okie, nhiều điểm check-in, nhà hàng quá đẹp."
Mộc Châu,Cầu Kính Bạch Long - Đảo Mộc Châu,Traveloka,Yim S. T.,"8,8",26/03/2025,"Nhân viên lễ tân và nhân viên hỗ trợ hành lý quá tệ, đoàn 10 cô chú già lớn tuổi (65-75 tuổi) mà không nhiệt tình, phải đợi đến khi đoàn nói cháu cầm vali cô gửi tiền mới hỗ trợ khách, quá tệ mặc dù khách sạn đẹp, có rất nhiều điểm check-in, chăm sóc khách hàng quá kém."
Mộc Châu,Cầu Kính Bạch Long - Đảo Mộc Châu,Traveloka,K***u,"9,7",13/12/2024,"Đã trải nghiệm lần thứ 2, mọi thứ đều rất ổn"
Mộc Châu,Cầu Kính Bạch Long - Đảo Mộc Châu,GoogleMap,Nguyen T. N. H.,"10,0",20/10/2023,"Khu nghỉ dưỡng có đầy đủ tiện ích sinh hoạt và giải trí, sạch sẽ và thuận tiện. Dịch vụ rất tuyệt vời với đội ngũ nhân viên thân thiện. Nhà hàng lớn với đồ ăn và đồ uống ngon. Bạn có thể trải nghiệm nhiều đặc sản thơm ngon với giá cả phải chăng"
Mộc Châu,Cầu Kính Bạch Long - Đảo Mộc Châu,Traveloka,Do Khai N.,"9,4",26/08/2023,"Phòng sạch sẽ, siêu xinhhh, mình 4 người nhung ma ở phòng 6 giường nên cũng thấy thoải mái, nhiều tiện ích, đi đâu chỉ cần gọi xe điện tới đưa kaka mong chờ 1 ngày được quay lại"
Mộc Châu,Cầu Kính Bạch Long - Đảo Mộc Châu,Traveloka,Phương T.,"9,1",25/06/2023,"Rất thích cách phục vụ ở đây luôn ạ, trong khuôn viên thì cũng có khá nhiều chỗ để chơi, ăn uống, đủ hết. Nói chung là thích lắm, lần sau sẽ quay lại ạ"
Mộc Châu,Cầu Kính Bạch Long - Đảo Mộc Châu,Traveloka,Nguyen T. H.,"5,1",08/05/2023,"Dịch vụ sơ sài và đắt đỏ, khách sạn nằm sâu trong hẻm núi di chuyển bất tiện. Mình thuê phòng 6 giường, khá nhỏ và chỉ để ngủ, nếu thức thì phải ra ngoài vì không gian trong phòng khá chật hẹp. Dịch vụ ở đây chưa hoàn thiện nhưng siêu đắt. Vé đi cầu kính 650k, zipline 180k, xe điện 300k/10p. Chơi trò gì cũng phải kí giấy miễn trừ trách nhiệm nếu có chuyện gì xảy ra, trượt zipline nhỡ đứt cáp hay sự cố kỹ thuật thì đơn vị khai thác cũng không chịu trách nhiệm"
Mộc Châu,Cầu Kính Bạch Long - Đảo Mộc Châu,Traveloka,DO TRANG N.,"5,2",06/01/2023,"Mc island ở khá xa trung tâm, ăn uống không có nhiều sự lựa chọn. Lúc đầu nghĩ rằng ở lều khá chill nhưng đến nơi thấy rất thất vọng. Nhạc ồn ào cả ngày đều tận khuya. Các lều khá gần nhau nên không có sự riêng tư, thậm chí lúc ngủ còn có thể nghe thấy tiếng ngáy của lều bên cạnh. Không có nước uống, khăn tắm, bàn chải đánh răng. Muốn mượn máy sấy tóc mà hỏi từ lễ tân cho đến nhà điều hành đều không có. Mà kể cả có mang theo máy sấy tóc cũng không có chỗ cắm điện để sử dụng. Không có điện nên phải tìm chỗ sạc nhờ điện thoại rất bất tiện. Ngày t2 đi chơi về thấy lều ghi tên người khác và còn bị dọn mất ghế. Wifi như có như không... T. T"
Mộc Châu,Cầu Kính Bạch Long - Đảo Mộc Châu,GoogleMap,LE TA T.,"6,2",19/08/2022,Bữa ăn sáng quá tồi. Phục vụ không chuyên nghiệp. Đờ an chỉ có mỳ tôm và 3 cái da thịt gà
Mộc Châu,Farmstay Bản Búa,Traveloka,Van N.,"5,1",26/12/2023,"Anh chủ rất thân thiện nhưng mà phòng dường như lâu không có ai ở, không được dọn dẹp nên chăn màn, khăn tắm bám bụi, nhiều bọ. Trong phòng không trang bị nhiều thiết bị phù hợp với giá mình đã chi ra cho một đêm nghỉ tại home. Máy sấy cũng hỏng hóc, không dùng được. Phòng tắm quá bẩn đến mức mình tắm nước không chảy thoát được. Hy vọng home có thể cải thiện hơn về vệ sinh phòng ở."
