city,hotelName,source,username,userRating,timeCmt,userCmt
Nha Trang,AQua Hotel & Spa,GoogleMap,Along H.,"8,8",30/05/2018,Đó là chiến lược. Gần bãi biển.
Nha Trang,AQua Hotel & Spa,Traveloka,Ho Thi T. T.,"8,4",06/02/2018,Khách sạn sạch sẽ nhưng hơi ồn
Nha Trang,AQua Hotel & Spa,Traveloka,Tan P. N.,"5,4",12/03/2018,Dịch vụ và cách phục vụ quá tệ
Nha Trang,AQua Hotel & Spa,Traveloka,Hoang T. L. T.,"5,7",17/04/2018,"Vì đã lỡ thanh toán và có mấy bé nhỏ nên gia đình không muốn phải di chuyển đến nơi khác chứ thật sự rất ngột ngạt khi lưu trú ở đây. Từ chủ đến nhân viên khó chịu, cảm giác như không thích khách nội địa thì phải. Dù sao cũng nên để du khách có chút thiện cảm để sau này họ còn quay lại..."
Nha Trang,AQua Hotel & Spa,Traveloka,DANG N. T. C.,"5,4",11/12/2025,"Ban công view biển thoáng mát nhưng .. Mọi tiếng động đều nghe, cách âm không tốt. Giường có sợi tóc màu vàng, ga gối trổ vàng, bảo nhân viên lễ tân thì nhận lại thái độ không được tốt"
Nha Trang,AQua Hotel & Spa,GoogleMap,N***n,"8,1",13/09/2025,"Giá cả hợp lý so với vị trí mặt tiền đường, phòng có cửa sổ sẽ tuyệt hơn, nên vệ sinh kỹ và kt lại vì khi nhận phòng tôi còn thấy có chai nước bimbim trong học tủ. Nhưng vẫn thông cảm đc vì lễ nên lao công cũng khá mệt vs lượng công việc."
Nha Trang,AQua Hotel & Spa,Traveloka,T***N,"5,3",10/09/2025,"Thật sự tệ hại. Đặt phòng view biển nhưng khi đến cho mình ở tầng 3 phòng thấp nhìn ra toàn dây điện với đường phố k thấy dc tí view biển nào. Mình đặt 3n2đ ở đây đến nơi nhận phòng mà tụt hết cảm xúc. Ok phòng cũng giống hình đấy nhưng gần như là bị xuống cấp hết rồi, bước vào phòng hôi dã man, nvs thì khai khăn tắm dọn phòng còn quên k bỏ. Vòi nước thì vặn bên nóng còn k ra nước được. Thang máy thì xuống cấp đi chậm hơn cả rùa bò. Nói chung siêu tệ k đáng tiền 1 chút nào"
Nha Trang,AQua Hotel & Spa,Traveloka,Ho Ngoc T.,"6,7",19/08/2025,"Phòng cũng tạm tạm, nhưng vị trí khá thuận tiện để đi lại , hy vọng ks chú trọng vệ sinh phòng ốc sạch sẽ hơn"
Nha Trang,AQua Hotel & Spa,Traveloka,Nguyen M. H.,"8,5",22/07/2025,"Phòng ở ổn, recommend mọi người ở đây được"
Nha Trang,AQua Hotel & Spa,Traveloka,Lenhat,"6,3",23/03/2018,Đặt xe để đi từ tối hôm trước sáng hôm sau xuống hỏi xe đâu ông chủ trả lời 1 câu ai biết xuống giờ nào đâu trong khi đoa đặt xe nguyên ngày.
Nha Trang,AQua Hotel & Spa,Traveloka,V***O,"5,0",02/07/2025,Đã đặt phòng trước nhưng đến khách sạn thì không còn phòng. Giải quyết vấn đề yếu.
