city,hotelName,source,username,userRating,timeCmt,userCmt
Phú Quốc,9 Station Hostel & Bar Phu Quoc,Traveloka,Nguyen T. T.,"9,7",19/02/2017,"Phòng ốc mới, nói chung cũng đáng tầm tiền."
Phú Quốc,9 Station Hostel & Bar Phu Quoc,Traveloka,J***e,"10,0",13/07/2024,Phòng sạch sẽ và nhân viên rất thân thiện.
Phú Quốc,9 Station Hostel & Bar Phu Quoc,Traveloka,TOAN T.,"10,0",22/09/2024,"Bữa ăn sáng rất ngon, giá rất oke, bao bữa ăn sáng"
Phú Quốc,9 Station Hostel & Bar Phu Quoc,Traveloka,L***u,"10,0",06/11/2024,Rất gần điểm bus miễn phí của vin nên đi đâu cũng tiện ạ.
Phú Quốc,9 Station Hostel & Bar Phu Quoc,Traveloka,T***n,"8,5",18/05/2025,Nhân viên dễ thương thân thiện.
Phú Quốc,9 Station Hostel & Bar Phu Quoc,Traveloka,Hoang T. N. P.,"9,1",17/12/2017,"Nhân viên và nội thất khá đẹp, các chương trình hàng tối khá thú vị và bất ngờ. Phòng 12 người hơi đông, nên nếu có tinh dầu nữa thì sẽ càng tuyệt vời. Tủ cá nhân chắc chắn nhưng ổ khóa cần được cải thiện hơn để khách bỏ đồ yên tâm hơn."
Phú Quốc,9 Station Hostel & Bar Phu Quoc,GoogleMap,ThuyLe,"9,3",02/12/2017,"Không gian thoải mái, khách sạn đẹp, dịch vụ tốt."
Phú Quốc,9 Station Hostel & Bar Phu Quoc,Traveloka,Le Quang M.,"9,7",02/12/2017,"Khách sạn đẹp, phục vụ nhiệt tình, hồ bơi nhỏ nhưng rất sạch."
Phú Quốc,9 Station Hostel & Bar Phu Quoc,Traveloka,Le Thi T. B.,"8,5",29/11/2017,"Lần đầu đi phú quốc với gia đình, khách sạn rất dễ thương. Có chương trình hát acoustic tới thứ 6 rất vui, nói chung mọi thứ ok. Điểm trừ là máy lạnh và nước rất yếu. Nhưng với giá phòng đó thì quá ok rồi, lễ tân vui, nhiệt tình giúp đỡ."
Phú Quốc,9 Station Hostel & Bar Phu Quoc,Traveloka,NGUYEN T. S.,"9,4",13/11/2017,"Tốt, đơn giản nhưng sạch sẽ, đầy đủ, đặc biệt có không gian cafe bar đằng trước sinh hoạt chung."
Phú Quốc,9 Station Hostel & Bar Phu Quoc,Traveloka,phung t. t. t.,"9,4",27/10/2017,"Nhân viên thân thiện, phòng sạch sẽ"
Phú Quốc,9 Station Hostel & Bar Phu Quoc,GoogleMap,The A. N.,"8,4",02/11/2017,"Rất tốt, tốt đẹp và hiện đại ký túc xá, đó là trên mong đợi của tôi."
