city,hotelName,source,username,userRating,timeCmt,userCmt
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,Traveloka,Thai H. P.,"9,1",05/11/2025,"Khách sạn sang trọng, đầy đủ tiện nghi, ngay cạnh 1 bãi biển nhỏ (tuy nhiên tôi không tắm ở đây vì hôm đó có vẻ nước rút và nhiều phù sa)."
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,Traveloka,P***g,"6,9",01/09/2024,Nhân viên gửi xe cố tình không nhắc lấy vé xe miễn phí mất hẳn 120k.
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,GoogleMap,H***y,"6,2",31/08/2024,"Khách sạn cũng bình thường. Phòng đắt mà không có ăn sáng. Có cái bể sục với bể bơi cho trẻ con cũng tạm tạm. Bãi biển trước khách sạn nước tù đọng, bẩn kinh"
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,Traveloka,L***g,"8,5",27/06/2024,"Khá xa trung tâm nên đi lại hơi bất tiện, từ khách sạn đến bảo tàng quảng ninh cũng phải mất 150k/ chiều. Xung quanh không có tiện ích nhiều."
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,Traveloka,DOAN M. H.,"10,0",19/06/2024,"Tất cả mọi thứ đều ok, trừ biển dưới chân khách sạn thì hơi bẩn, ai cần tắm biển thì nên vào trong trung tâm"
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,Traveloka,le tuan a.,"5,0",16/06/2024,"Nhân viên gửi xe thì hãm, đi xe máy đến khách sạn 5 sao là sai à, tiếp khách thì chán, thái độ từ nhân viên đến lễ tân thì đúng ối dồi ôi, nói chung là trải nghiệm cực tệ"
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,Traveloka,N***n,"10,0",12/06/2024,Khách sạn rất sạch sẽ. Vị trí tuyệt. Trên cả tuyệt vời bể bơi siêu đẹp
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,Traveloka,V***u,"9,4",22/02/2025,"Vị trí rất tiện lợi, cảnh quan độc đáo"
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,Traveloka,L***g,"10,0",01/05/2024,"Thật sự rất tuyệt, sẽ quay lại"
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,Traveloka,Thục G.,"10,0",14/01/2024,View ngắm trọn vẹn bình minh và hoàng hôn
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,Traveloka,Hương N.,"9,4",09/12/2023,Dịch vụ tuyệt vời và không khí!
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,GoogleMap,Xuân H. N.,"5,1",15/08/2023,Thái độ của lễ tân khó chịu khi phản ánh phòng chưa được dọn dẹp.
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,Traveloka,Tran T. T. T.,"10,0",18/07/2023,"Khách sạn đẹp, dịch vụ tốt, buffet sáng ngon, có bể bơi kèm bể sục, xông hơi. Rất tuyệt vời!"
Quảng Ninh,A La Carte Ha Long Bay Managed by TASECO,Traveloka,Hưng N. Q.,"10,0",04/07/2023,"Ks mới, sạch sẽ, mình ở phòng view biển rất thích. Điểm trừ là bãi biển tắm ko dc thích lắm, nước biển đục."
