city,hotelName,source,username,userRating,timeCmt,userCmt
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,My Le,"7,1",07/10/2017,Nước hồ bơi quá dơ! phòng tắm có mùi và nhiều con gì bay vào. Sau khi tắm hồ bơi tôi đã bị nổi mẩn ngứa đầy người.
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,Nguyen B. T.,"8,5",06/10/2017,"Nơi nghỉ dưỡng tốt, hơi xa trung tâm, nhân viên nhiệt tình, đồ ăn ngon"
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,Pham T. P.,"6,1",15/02/2024,"Khách sạn tối tăm, chả có tí đèn gì, cảm giác đi chơi về buổi tối hơi sợ phòng ở xung quanh trống nhiều tạo cảm giác lạnh bảo vệ hung dữ, mắng cả khách"
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,NGO S. T.,"8,7",08/03/2023,"Không gian phù hợp cho gia đình nghỉ dưỡng. Điểm trừ là cơ sở vật chất không được cải tạo nâng cấp, hỏng nhiều"
Tam Đảo,Belvedere Tam Đảo Resort,GoogleMap,Koh En Rong Elijah,"6,4",10/08/2022,"Pool was not filled up, gym was empty."
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,Nguyen T. H. H.,"9,1",27/07/2022,"Khung cảnh rất đẹp, thức ăn ngon. Vô cùng phù hợp với nghỉ dưỡng."
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,Tran m. c.,"6,0",08/07/2022,"Khách sạn cũ, đồ đạc cũ, nhà với không sạch, điện thoại bàn không dùng được, đồ ăn sáng không đa dạng và không ngon, bể bơi trẻ e tắm bị gạch men xước chảy máu chân .... Sẽ không quay lại!"
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,Trinh Q. V.,"8,5",09/09/2019,"Nhược điểm - đoạn đường dẫn vào khu đã xuống cấp, cần được cải tạo lại. - một số vị trí tường, cửa, nột thất đã cũ làm giảm mỹ quan chung. - ban công không có bàn trà. - bể bơi bẩn. - đồ ăn sáng chưa phong phú. Ưu điểm - kiến trúc tổng thể đẹp, hợp lý. - nhân viên nhiệt tình, thân thiện."
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,LE HUY B.,"9,4",13/08/2019,Ok lắm. Ngoại trừ ban công sắt han rỉ
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,Nguyen M. H.,"8,5",12/09/2022,"Cảnh đẹp, phòng cũng ổn, bữa sáng ngon! lần thứ 2 mình ở đây thấy ổn hơn lần đầu"
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,Thuong T. H.,"6,0",20/04/2019,"Nội thất cũ và hư hỏng, bóng đèn không sáng nhưng không được thay thế, điện thoại bàn không sử dụng được."
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,Mis Nga,"5,7",27/10/2018,"Quá chán, không phục vụ đồ ăn cho khách, khi co khieu nai khong co loi giai thich thoa dang cho khach hang."
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,Hong V.,"6,0",24/09/2018,Phòng ốc và view không có gì đặc sắc. Vệ sinh nên có vòi xịt. Xa trung tâm. Các dịch vụ không xứng với giá tiền lắm
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,Nguyen T. P.,"8,8",25/07/2018,"Khung cảnh ngoạn mục, phòng sạch sẽ, đồ ăn ngon và hồ bơi tuyệt vời!"
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,PHAM C. T. T.,"8,5",26/07/2018,"Phòng đẹp, cảnh đẹp, ăn cũng được"
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,Thng N.,"5,8",19/06/2018,"Nội thất đã xuống cấp, sơn tường và nóng lạnh của phòng ko được chăm chút lại, giống như nhà hoang vậy!"
Tam Đảo,Belvedere Tam Đảo Resort,GoogleMap,Kim L.,"6,1",04/01/2018,"Cơ sở vật chất bình thường, phòng ốc không xứng đáng với một nửa giá, đồ ăn sáng tệ. Quá tệ cho 1 khu resort, sẽ không quay lại."
Tam Đảo,Belvedere Tam Đảo Resort,Traveloka,Kim N.,"5,4",07/08/2019,"Resort 4 mà cũ kĩ, nhân viên ít, lễ tân thì không có mặt. Đồ ăn sáng mới ăn thử đĩa caramen thì bị hỏng chua"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Do Duc P.,"4,8",22/07/2022,"Thiếu chuyên nghiệp , phòng chả giống lúc đặt , trông rất rợn hỏi thì mới đổi cho lại còn mất thêm phí đổi phòng ("
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Khánh H.,"9,4",26/07/2022,Phòng view núi tầng 8 hơi bé. Còn lại ok
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Vũ Quỳnh T.,"9,7",13/07/2022,"Khách sạn sạch sẽ , view đẹp và tốt lắm nha . Nhân viên nhiệt tình năng động . Nói chung là rất tốt nhé , sẽ quay lại khi có dịp"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Do Thi C. A.,"4,8",13/07/2022,"Quá tệ . P không giônngz hình. Thua 1 nhà nghỉ bình dân. P cực bí, mùi ẩm , gia đình mình ở được 1 đêm sau phải chuyển khách sạn khác"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Do Thi M.,"8,5",05/07/2022,"Ưu điểm giá rẻ, phòng sạch sẽ, ban công thoáng mát view đẹp, wc sạch không có mùi hôi nhược điểm phòng diện tích nhỏ và ga gối màu trắng có các vệt ố, chắc do giặt cũng không ra"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Hong L.,"5,5",14/08/2019,"Mình đặt phòng nhưng khi đến nhân viên mới check và không hề biết có tên mình, khi mình nói đặt phòng qua app thì mới ậm ừ rồi nói đặt phòng qua đấy nên không biết bla bla hình như chọn bừa cho mình 1 phòng. Phòng rất bí và mới sáng ra đã khoan đục sửa chữa gì đó, nhưng không báo cho khách, thang máy thì hỏng và dù mình có đặt phòng trước thì vẫn ở tầng 5 và phải leo thang bộ. Trước khi đến mình có ib hỏi khách sạn là trong phòng có ấm siêu tốc không thì khách sạn xác nhận là có, nhưng khi mình đến thì lại không có và muốn dùng nước nóng thì phải xuống tầng 1 đun bằng ấm siêu tốc dùng chung và cho vào phích rồi tự xách lên phòng. Khi mình hỏi nhân viên thì các bạn có vẻ không thoải mái lắm."
Tam Đảo,Chan May Hotel Tam Dao,GoogleMap,Nguyen Q. H.,"6,0",28/06/2022,"Đệm cứng, đau lưng lắm ak. Còn lại dịch vụ quá ổn áp"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Nguyen H. P.,"5,1",22/08/2019,Khá tệ không có nước và phòng bẩn hôi hám. Phục vụ không lịch sự
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Phamduyanh,"5,4",31/07/2019,"Khách sạn có xây dựng sửa chữa, nhưng không thông báo cho khách biết. Việc xây dựng là không khó tránh khỏi ồn ào, nhưng không thông báo để khách chuẩn bị và xử lý. Nhất là vào ngày chủ nhật, là thời gian nghỉ ngơi. Nhưng 7h sáng đá đập phá. Khi đặt phòng đã viết lưu ý là chọn phòng có view và ở tầng trên. Nhưng khi nhận phòng (đã thanh toán đấy đù trước khi đến khách sạn) thì không được như đã book."
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Qui N.,"8,5",02/10/2022,"Khách sạn phía trên cao, ngắm được toàn cảnh tam đảo, chỉ tiếc là có 1 khách sạn khác đang xây dựng phía dưới quãng trường, xây rất lớn nên view hết được đẹp. Khách sạn không có nước free, phòng hơi nhỏ."
Tam Đảo,Chan May Hotel Tam Dao,GoogleMap,Huyen H.,"9,7",30/06/2022,"Phòng đẹp, giống hình mẫu, thiết bị, chăn mềm tốt, thơm tho. View quảng trường rất đẹp. Nhân viên nhiệt tình tận tâm."
Tam Đảo,Chan May Hotel Tam Dao,GoogleMap,PHAM A. B.,"9,7",22/11/2022,Phòng nghỉ sạch sẽ và góc nhìn đẹp chill đỉnh luôn ạ mà giá lại cực kì hạt dẻ
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Hồ Hằng,"8,2",04/09/2025,"Phòng ok, nhà mình ở phòng tập thể rất ok"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Nguyen X. N.,"5,1",14/04/2023,"Chất lượng phòng quá tệ, thái độ nhân viên không thân thiện"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,L***y,"8,5",10/08/2025,"Phòng gần quảng trường, ngay thị trấn, đi lại cũng tiện ạ."
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,T***n,"8,8",08/08/2025,"Phòng mới, sạch sẽ, đồ dùng tiện nghi đầy đủ, chỉ xui là gđ mk gặp đúng hôm có những vị khách rất thiếu ý thức, 3-4h đêm vẫn chạy, nhảy ầm ầm, trêu đùa, nói chuyện rất to, rất ồn."
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Tuấn A. N.,"8,2",01/08/2025,"Phòng ko cách âm, người qua lại quá ồn. Phòng kín bị mùi"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,M***i,"8,1",19/07/2025,"Phòng có tiện nghi vừa đủ. Tuy nhiên chăn ga cảm giác như để lâu bị ẩm do thời tiết, mình nhờ thay chăn ga thì vẫn được nhưng các bạn lưu ý kiếm tra ngay khi nhận phòng"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,E***X,"8,8",20/07/2025,Phòng giá cả hợp lý view đẹp bác chủ hoà đồng nhiệt tình lần sau mình sẽ lại lên và sẽ book bên bác
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Nguyn N. P.,"8,5",06/07/2025,"Giá cả hợp lý. Tiện nghi phòng cơ bản, sạch sẽ. Lễ tân thân thiện, mến khách. Vị trí gần quảng trường. Hôm mình nghỉ nhà bên cạnh đang phá dỡ nên hơi ồn chút"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Nguyn N. P.,"8,2",10/07/2025,"Vị trí gần quảng trường, phòng sạch sẽ, đúng như mô tả. Giá cả hợp lý. Lễ tân rất thân thiện và hỗ trợ mọi yêu cầu của chúng tôi"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Nguyen T. A.,"10,0",07/07/2025,Chú chủ vô cùng thân thiện và dễ tính luôn 100đ
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Vu Thi P.,"8,8",05/03/2025,Hôm mình đi thời tiết nhiều sương và mưa. 1 phòng mình đặt bị ướt gối và giường do nước mưa chảy theo tường
Tam Đảo,Chan May Hotel Tam Dao,GoogleMap,P***i,"9,7",17/02/2025,"Nhân viên thân thiện nhiệt tình, phòng sạch sẽ, chất lượng tốt."
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Guest,"5,0",23/10/2024,"Đặt phòng view gaden mà mà cho lên tận phòng áp mái, view chỉ toàn thấy téc nước. Phòng quá chật"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,V***U,"8,5",21/10/2024,"Giá rẻ phù hợp ở không cần view, đổi gió ok"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Thanh B. Đ.,"8,4",20/02/2023,"Không sao đâu. Nhân viên thân thiện, phòng hơi nhỏ so với dự kiến, nước nóng hơi ngắn, tường hơi mỏng, không có dao cạo râu trong phòng tắm, không có túi trà và ấm đun nước điện. Ngoại trừ những nhược điểm nhỏ đó, đó là một khách sạn tốt để ở. 7/10 với tôi."
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,NGOC V. N.,"9,1",14/10/2024,"Quản lý lễ tân và nhân viên thân thiện, cho phép nhận phòng sớm khi có phòng trống. Vị trí gần nhà thờ và khu trung tâm. Giá phòng hợp lý."
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Vu Thi L.,"5,1",19/05/2024,"Trong phòng có gián, chăn ga gối đệm nhầu nhĩ ngả màu!"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Minh Q.,"8,2",17/08/2025,"Chủ home thân thiện, vị trí cũng khá gần trung tâm, tiện cho việc đi lại"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Dinh N. Q.,"8,2",09/05/2024,"Thời tiết khá đẹp, phòng mình chốt sát giờ nên cũng không dám đòi hỏi nhiều, giá hơi cao nhưng view đẹp, nhân viên nhiệt tình, vui vẻ"
Tam Đảo,Chan May Hotel Tam Dao,GoogleMap,NGUYEN T. H.,"8,8",06/08/2025,"Nhân viên hỗ trợ nhiệt tình, trải nghiệm thú vị"
Tam Đảo,Chan May Hotel Tam Dao,Traveloka,Minh A. T.,"9,7",15/07/2023,"Khách sạn sạch sẽ, đầy đủ tiện nghi, gần quảng trường. Lúc đầu đặt phòng cũng hơi e ngại vì phòng rẻ quá nhưng mà không sao, chất lượng cực kỳ ổn so với giá thành luôn. Hai bác chủ và các bạn nhân viên đều nhiệt tình, vui vẻ và hiếu khách. Lên tam đảo chọn chân mây là cực kỳ đúng đắn"
