city,hotelName,source,username,userRating,timeCmt,userCmt
Vũng Tàu,3H Grand Hotel,Traveloka,H***g,"6,5",05/11/2025,"Đặt phòng theo báo giá trên app traveloka, hoàn tất thanh toán đến ngày nhận phòng phía ks báo do khách sạn và traveloka có chỉnh tiền, sai sót trên hệ thống nhưng không được nên báo mình phải đóng thêm tiền chênh lệch mình cảm thấy trách nhiệm đó là của khách sạn với bên traveloka nhưng do không huỷ được nên cũng phải chấp nhận đến trải nghiệm 1 lần cho biết. Sẽ cân nhắc xem xét có lựa chọn lần sau hay không"
Vũng Tàu,3H Grand Hotel,Traveloka,Khách đã xác minh,"9,1",07/10/2025,"Phòng khá đẹp. Rộng , thoáng. Có điều một vài vật dụng cụ, hông xài đc. Như là đèn kính toilet, và máy sấy tóc. Còn lại mọi thứ đều rất oke."
Vũng Tàu,3H Grand Hotel,Traveloka,Tam D. T.,"9,7",01/09/2025,"Ngay khu vực trung tâm,phòng sạch sẽ"
Vũng Tàu,3H Grand Hotel,Traveloka,3***m,"8,1",29/08/2025,"Nhà vệ sinh sạch sẽ 10 điểm, nhưng phòng k được tân trang định kỳ hay sao ấy, có những thứ rất k được hài lòng, như bình siêu tốc bị dơ bên trong, ghế tình yêu bị hư, rèm bẩn, sàn gỗ bung lên. Tổng thể nhìn thì ổn, nhưng nếu chi tiết thì vẫn chưa ổn lắm. 7 điểm"
Vũng Tàu,3H Grand Hotel,Traveloka,NGUYEN H. T.,"9,4",12/08/2025,"Phòng có view 3 mặt, phòng rộng rãi, cảm giác thoáng mát. Đầy đủ tiện nghi, có tủ đầu giường tích hợp loa kết nối với dt nghe nhạc rất tiện. Ks gần biển bãi sau nên đi đâu cũng rất tiện luôn. Rất ráng thử nha"
Vũng Tàu,3H Grand Hotel,Traveloka,Vo Hoang,"10,0",08/07/2025,Nhân viên dth dịch vụ ok gần biển
Vũng Tàu,3H Grand Hotel,Traveloka,H***ồ,"8,4",01/07/2025,Phòng tạm ổn được vị trí cũng gần biển
Vũng Tàu,3H Grand Hotel,Traveloka,Nguyen H. T.,"9,4",18/06/2025,"Nhân viên nhiệt tình, phòng view đẹp yên tĩnh gần biển"
Vũng Tàu,3H Grand Hotel,Traveloka,K***m,"10,0",22/05/2025,"Nhân viên dễ thương, mọi thứ đều ổn, nhưng nhà vệ sinh hơi kẹt xíu, không sao nghe."
Vũng Tàu,3H Grand Hotel,Traveloka,L***ê,"5,8",09/05/2025,Ks mà cúp điện và hư khoá từ ko hỗ trợ khách nhận phòng sớm mà mình tới lúc 1h còn thu mình 100k
